aX,aY,aZ,gX,gY,gZ
-0.055,-0.931,0.579,2.014,-28.320,-12.390
-0.087,-0.904,0.535,3.113,-36.621,-13.916
-0.124,-0.890,0.505,5.554,-40.710,-13.489
-0.126,-0.877,0.459,9.216,-37.476,-10.254
-0.112,-0.861,0.409,12.573,-29.297,-6.653
-0.098,-0.849,0.366,14.099,-18.921,-3.784
-0.093,-0.841,0.346,12.329,-10.437,-1.404
-0.085,-0.846,0.339,7.751,-4.883,0.916
-0.066,-0.848,0.365,2.991,-2.075,3.235
-0.049,-0.839,0.393,-0.061,-1.526,3.662
-0.042,-0.837,0.407,-1.587,-3.357,2.075
-0.047,-0.820,0.424,-2.380,-6.165,0.366
-0.054,-0.810,0.431,-3.784,-10.010,-0.793
-0.065,-0.819,0.434,-5.981,-12.695,-1.160
-0.066,-0.834,0.445,-6.775,-12.268,-1.038
-0.071,-0.823,0.477,-5.676,-8.667,-0.183
-0.084,-0.825,0.511,-4.333,-2.747,0.793
-0.081,-0.836,0.535,-3.052,4.944,3.052
-0.074,-0.849,0.555,-2.930,11.353,5.249
-0.068,-0.868,0.567,-3.784,13.489,6.287
-0.057,-0.887,0.559,-4.395,11.230,6.042
,,,,,
-0.761,-0.276,-1.526,58.289,-118.896,-47.058
-0.722,-0.296,-1.544,38.574,-121.765,-33.813
-0.709,-0.368,-1.493,21.423,-117.065,-20.935
-0.701,-0.452,-1.336,4.761,-101.685,-6.165
-0.630,-0.483,-1.162,-6.348,-71.594,10.864
-0.528,-0.556,-1.015,-8.240,-32.043,26.062
-0.413,-0.643,-0.889,-8.057,5.188,36.865
-0.316,-0.714,-0.772,-13.123,30.273,43.518
-0.234,-0.779,-0.643,-20.447,40.588,44.861
-0.176,-0.819,-0.535,-26.062,39.734,41.016
-0.152,-0.836,-0.479,-29.541,31.250,33.142
-0.163,-0.840,-0.461,-30.701,18.066,23.682
-0.186,-0.818,-0.500,-29.419,5.371,15.137
-0.227,-0.790,-0.580,-29.480,-5.127,8.057
-0.278,-0.741,-0.662,-31.067,-15.930,4.272
-0.334,-0.691,-0.760,-31.250,-21.423,4.150
-0.370,-0.680,-0.875,-33.569,-17.212,4.944
-0.386,-0.676,-0.940,-43.152,-8.911,7.690
-0.399,-0.649,-0.933,-59.021,-1.038,11.841
-0.411,-0.616,-0.869,-74.951,6.531,14.954
-0.435,-0.585,-0.797,-86.121,15.442,17.029
-0.455,-0.576,-0.745,-93.445,22.339,19.958
-0.453,-0.557,-0.675,-100.525,24.292,24.414
-0.451,-0.551,-0.594,-108.154,22.217,28.870
-0.455,-0.576,-0.517,-114.624,19.165,32.227
-0.472,-0.595,-0.431,-118.591,16.602,35.339
